,date,tweet_text_clean,tweet_sentiment,attention,sentiment_weighted
0,2021-06-19 22:37:35,USDCNY cusp of reversal 6 673 targets if the break can hold amp make for 2 consecutive higher high,0.20500000000000002,8,1.8450000000000002
1,2021-06-19 21:58:49,Birthday Fit Join our Free Discord Tickers I m bullish on RYCEY BAP QIWI TRIB WB TAL EDU BTI BA PCG BABA TEVA BLV SCHQ UUP EUO CROC USDAUD USDCNY Stocks Bonds Investing StockMarket USD,0.4,2,1.2000000000000002
2,2021-06-19 17:14:14,Squeeze dem liquid usd Gold silver Bitcoin EURUSD Crypto NYSE NASDAQ StockMarket Dollar investing USDCNY Economics spy iwm qqq dia DXY TLT VVIX UVXY dxy vix,0.0,1,0.0
3,2021-06-18 12:33:54,Kostecki Ciekawe spostrze enie W powszechnej wiadomo ci najwi kszym obligatariuszem USA s jednak Chiny i tak by oby r wnie w tym zestawieniu gdyby uj te podleg y Hong Kong W przypadku wyprzeda y ameryka skiego d ugu przez Pa stwo rodka USDCNY m g by jeszcze mocniej zanurkowa,0.0,1,0.0
4,2021-06-18 09:13:04,SAFE USDCNY,0.5,0,0.5
5,2021-06-18 09:07:39,Futures SPX 1 DJI 10 NDX 24 RUT 6 VIX 19 50 USDJPY 110 16 EURUSD 1 191 USDCNY 6 44 Oil wti 70 51 Gold 1792 Silver 26 48 Copper 4 19 US10YR 1 48,0.0,1,0.0
6,2021-06-18 08:59:45,SAFE Tiongkok Melihat Fluktuasi Yuan Dua Arah Sebagai Norma Tiongkok USDCNY Matauang,0.5,0,0.5
7,2021-06-18 08:52:23,China s SAFE sees two way yuan fluctuation to be norm China USDCNY Currencies,0.5,2,1.5
8,2021-06-18 04:56:28,,0.0,0,0.0
9,2021-06-18 01:25:59,Kurs Tengah USD CNY 6 4361 Versus Sebelumnya 6 4490 USDCNY Matauang PBOC,0.0,0,0.0
10,2021-06-18 01:22:05,USD CNY fix 6 4361 vs 6 4490 prior By burland USDCNY Currencies PBOC,0.0,1,0.0
11,2021-06-17 15:10:50,recession Global USD Liquidity Squeeze edition Looks like the Yuan broke its peg to the US Dollar FX Forex RMB CNY USDCNY,0.0,2,0.0
12,2021-06-17 12:51:08,Go easy using the last two days of price action to support this argument babe Copper fall has been due to Chinese Govt crackdown on speculators and releasing stockpiles and This latest USDCNY move is due to a little meeting that happened yesterday called the FOMC,0.07447916666666667,2,0.2234375
13,2021-06-17 12:47:21,USDCNY 0 70,0.0,3,0.0
14,2021-06-17 11:49:13,USDCNY chart via,0.0,0,0.0
